URL,Spoken name
about:addons, about addons
about:config, about config
about:debugging#/runtime/this-firefox, about debugging
about:performance, about performance
about:preferences, about preferences
about:preferences, about preferences
about:profiles, about profiles
chrome://extensions/, chrome extensions
https://addons.mozilla.org/en-US/developers/addons, firefox addons
https://app.slack.com/client/T7FPSMV8F,talon slack
https://bugs.chromium.org/p/chromium/issues/list, chromium bugs
https://bugs.chromium.org/p/chromium/issues/list, chromium bugs
https://bugzilla.mozilla.org/home, bugzilla
https://calendar.google.com,google calendar
https://caniuse.com/, can I use
https://chat.openai.com/?model=gpt-4-browsing, chat GPT browse
https://chat.openai.com/?model=gpt-4, chat GPT
https://codepen.io/, codepen
https://colorhunt.co/, color hand
https://colorhunt.co/, color hunt
https://developer.chrome.com/docs/extensions/reference/, chrome extension API
https://developer.mozilla.org/en-US/docs/Mozilla/Add-ons/WebExtensions, mozilla extension API
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/select, Mozilla select
https://discord.com/channels/@me, discord
https://docs.google.com/spreadsheets/d/10stJliUxiJ0xKZtQy1jtOXGQnSCQ46K9uGn67WEXVjc/edit#gid=1962446325, exercise log
https://dropbox.com/,dropbox
https://en.wikipedia.org/,wikipedia
https://fedmentor.dev/, fed mentor
https://github.com/,github
https://github.com/chaosparrot/parrot.py, parrot
https://github.com/cursorless-dev/cursorless, cursorless GitHub
https://github.com/david-tejada/rango-talon, rango talon GitHub
https://github.com/david-tejada/rango, rango GitHub
https://github.com/david-tejada/rango/issues, rango issues
https://github.com/david-tejada/rango/issues/new, rango new issue
https://github.com/paul-schaaf/talon-filetree, file tree github
https://github.com/talonhub/community, community github
https://jimmyjoy.com/, jimmy joy
https://leetcode.com/, leet code
https://leveluptutorials.com/home, level up
https://mail.google.com/,gmail
https://maps.google.com/,google maps
https://realpython.com/, real python
https://regex101.com/, regex
https://scholar.google.com/,google scholar
https://talon.wiki/,talon wiki
https://wiki.dendron.so/,dendron wiki
https://www.amazon.com/,amazon
https://www.amazon.es/,amazon spain
https://www.calimove.com/courses/enrolled/592250, cali move
https://www.executeprogram.com/, execute program
https://www.frontendmentor.io/, front end mentor
https://www.google.com/,google
https://www.notion.so, notion
https://www.onelook.com/,word search
https://www.smashingmagazine.com/, smashing magazine
https://www.smashingmagazine.com/, smashing myosin
https://www.subdivx.com/,subs
https://www.w3.org/TR/html-aria/#docconformance, area roles
https://www.youtube.com/,youtube
https://www.youtube.com/channel/UCML02pamUSxtbwAcrUdVmXg/videos, pokey YouTube
https://www.zooplus.es/, zoo plus
